Nome;Custo_USD;Frete_USD;Embalagem_R$;II_%;IPI_%;ICMS_%;PIS_%;COFINS_;IOF_;Marketplace;Modo_Venda;Tamanho_Kit;Preco_Base
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;692,2551359;6,75;0,5;672,18795;672,18795;672,18795;672,18795;672,18795;672,18795;ATACADO - MercadoLivre Clássico;"""PARES""";500;14937,51
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;138,4510272;12,35;0,5;137,67705;137,67705;137,67705;137,67705;137,67705;137,67705;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";100;3059,49
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;276,9020544;12,35;0,5;267,25545;267,25545;267,25545;267,25545;267,25545;267,25545;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";200;5939,01
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;415,3530816;12,35;0,5;404,9325;404,9325;404,9325;404,9325;404,9325;404,9325;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";300;8998,5
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;553,8041087;12,35;0,5;542,60955;542,60955;542,60955;542,60955;542,60955;542,60955;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";400;12057,99
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;692,2551359;12,35;0,5;672,18795;672,18795;672,18795;672,18795;672,18795;672,18795;ATACADO - MercadoLivre Clássico C/ Frete;"""PARES""";500;14937,51
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;138,4510272;12,35;0,5;137,67705;137,67705;137,67705;137,67705;137,67705;137,67705;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";100;3059,49
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;276,9020544;12,35;0,5;267,25545;267,25545;267,25545;267,25545;267,25545;267,25545;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";200;5939,01
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;415,3530816;12,35;0,5;404,9325;404,9325;404,9325;404,9325;404,9325;404,9325;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";300;8998,5
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;553,8041087;12,35;0,5;542,60955;542,60955;542,60955;542,60955;542,60955;542,60955;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";400;12057,99
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;692,2551359;12,35;0,5;672,18795;672,18795;672,18795;672,18795;672,18795;672,18795;ATACADO - MercadoLivre Premium C/ Parcelamento;"""PARES""";500;14937,51
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;138,4510272;12,35;0,5;82,60623;82,60623;82,60623;82,60623;82,60623;82,60623;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";100;1835,694
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;276,9020544;12,35;0,5;152,3356065;152,3356065;152,3356065;152,3356065;152,3356065;152,3356065;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";200;3385,2357
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;415,3530816;12,35;0,5;230,811525;230,811525;230,811525;230,811525;230,811525;230,811525;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";300;5129,145
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;553,8041087;12,35;0,5;276,7308705;276,7308705;276,7308705;276,7308705;276,7308705;276,7308705;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";400;6149,5749
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;692,2551359;12,35;0,5;329,3720955;329,3720955;329,3720955;329,3720955;329,3720955;329,3720955;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";500;7319,3799
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;2,769020544;4,5;0,5;2,7;2,7;2,7;2,7;2,7;2,7;Amazon;"""PARES""";2;60
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;5,538041087;4,5;0,5;3,375;3,375;3,375;3,375;3,375;3,375;Amazon;"""PARES""";4;75
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;8,307061631;4,5;0,5;2,7;2,7;2,7;2,7;2,7;2,7;Amazon;"""PARES""";6;60
Protetor de Cabo Celular Silicone Colorido USB e Tipo C;11,07608217;4,5;0,5;3,375;3,375;3,375;3,375;3,375;3,375;Amazon;"""PARES""";8;75
PRODUTO;CUSTO;TX FRETE ;EMBALAGEM;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;Marketplace;"""KIT""";;
Prot. camera 5un + Prot 2k Collor;4,045190243;4;0,5;0,81;0,81;0,81;0,81;0,81;0,81;Shopee;"""KIT""";;
Prot. camera 10un + Prot 4k Collor;8,090380486;4;1,5;0,855;0,855;0,855;0,855;0,855;0,855;Shopee;"""KIT""";;
Prot. camera 15un + Prot 6k Collor;12,13557073;4;2,5;0,9;0,9;0,9;0,9;0,9;0,9;Shopee;"""KIT""";;
Prot. camera 5un + Prot transp 2Pçs;2,515273401;4;3,5;0,945;0,945;0,945;0,945;0,945;0,945;Shopee;"""KIT""";;
Prot. camera 5un + Prot transp 4Pçs;3,754377102;4;4,5;0,99;0,99;0,99;0,99;0,99;0,99;Shopee;"""KIT""";;
Prot. camera 10un + Prot transp 4Pçs;5,030546801;4;5,5;1,035;1,035;1,035;1,035;1,035;1,035;Shopee;"""KIT""";;
Prot. camera 15un + Prot transp  6Pçs;7,545820202;4;6,5;1,08;1,08;1,08;1,08;1,08;1,08;Shopee;"""KIT""";;
Prot. camera 15un + Prot transp  8Pçs;8,784923903;4;7,5;1,125;1,125;1,125;1,125;1,125;1,125;Shopee;"""KIT""";;
Prot. camera 5un + Prot 2k Collor;4,045190243;6,75;0,5;0,81;0,81;0,81;0,81;0,81;0,81;MercadoLivre Clássico;"""KIT""";;
Prot. camera 10un + Prot 4k Collor;8,090380486;6,75;1,5;0,855;0,855;0,855;0,855;0,855;0,855;MercadoLivre Clássico;"""KIT""";;
Prot. camera 15un + Prot 6k Collor;12,13557073;6,75;2,5;0,9;0,9;0,9;0,9;0,9;0,9;MercadoLivre Clássico;"""KIT""";;
Prot. camera 5un + Prot transp 2Pçs;2,515273401;6,75;3,5;0,945;0,945;0,945;0,945;0,945;0,945;MercadoLivre Clássico;"""KIT""";;
Prot. camera 5un + Prot transp 4Pçs;3,754377102;6,75;4,5;0,99;0,99;0,99;0,99;0,99;0,99;MercadoLivre Clássico;"""KIT""";;
Prot. camera 10un + Prot transp 4Pçs;5,030546801;6,75;5,5;1,035;1,035;1,035;1,035;1,035;1,035;MercadoLivre Clássico;"""KIT""";;
Prot. camera 15un + Prot transp  6Pçs;7,545820202;6,75;6,5;1,08;1,08;1,08;1,08;1,08;1,08;MercadoLivre Clássico;"""KIT""";;
Prot. camera 15un + Prot transp  8Pçs;8,784923903;6,75;7,5;1,125;1,125;1,125;1,125;1,125;1,125;MercadoLivre Clássico;"""KIT""";;
Prot. camera 5un + Prot 2k Collor;2,769020544;12,35;0,5;0,81;0,81;0,81;0,81;0,81;0,81;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 10un + Prot 4k Collor;6,814210787;12,35;1,5;0,855;0,855;0,855;0,855;0,855;0,855;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 15un + Prot 6k Collor;10,85940103;12,35;2,5;0,9;0,9;0,9;0,9;0,9;0,9;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 5un + Prot transp 2Pçs;1,239103701;12,35;3,5;0,945;0,945;0,945;0,945;0,945;0,945;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 5un + Prot transp 4Pçs;2,478207402;12,35;4,5;0,99;0,99;0,99;0,99;0,99;0,99;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 10un + Prot transp 4Pçs;3,754377102;12,35;5,5;1,035;1,035;1,035;1,035;1,035;1,035;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 15un + Prot transp  6Pçs;6,269650502;12,35;6,5;1,08;1,08;1,08;1,08;1,08;1,08;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 15un + Prot transp  8Pçs;7,508754204;12,35;7,5;1,125;1,125;1,125;1,125;1,125;1,125;MercadoLivre Clássico C/ Frete;"""KIT""";;
Prot. camera 5un + Prot 2k Collor;4,045190243;12,35;4,5;0,99;0,99;0,99;0,99;0,99;0,99;MercadoLivre Premium C/ Parcelamento;"""KIT""";;
Prot. camera 10un + Prot 4k Collor;8,090380486;12,35;5,5;1,035;1,035;1,035;1,035;1,035;1,035;MercadoLivre Premium C/ Parcelamento;"""KIT""";;
Prot. camera 15un + Prot 6k Collor;12,13557073;12,35;6,5;1,08;1,08;1,08;1,08;1,08;1,08;MercadoLivre Premium C/ Parcelamento;"""KIT""";;
Prot. camera 5un + Prot transp 2Pçs;2,515273401;12,35;7,5;1,125;1,125;1,125;1,125;1,125;1,125;MercadoLivre Premium C/ Parcelamento;"""KIT""";;
Prot. camera 5un + Prot transp 4Pçs;3,754377102;12,35;4,5;0,99;0,99;0,99;0,99;0,99;0,99;MercadoLivre Premium C/ Parcelamento;"""KIT""";;
